Make,Model,Vehicle Class,Engine Size (L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions (g/km)
Honda,Model A,Truck,5.1,6,A6,Z,9.89,4.56,9.45,35.06,378.96
Honda,Model A,Compact,2.4,8,A8,Z,10.91,10.02,7.53,44.18,214.42
Ford,Model C,Compact,5.7,4,A8,X,14.05,13.79,12.31,33.2,123.6
Ford,Model A,Compact,5.4,8,A8,X,17.03,6.89,9.09,18.6,151.56
Ford,Model B,SUV,1.8,4,M5,X,12.04,9.19,6.1,24.62,117.77
Honda,Model A,Truck,4.9,4,M5,Z,11.34,7.57,13.91,41.03,131.62
Honda,Model B,Truck,3.9,6,M6,X,19.93,14.47,14.2,21.98,155.4
Toyota,Model C,Compact,3.8,4,M6,Z,5.16,13.06,9.68,33.23,202.33
Toyota,Model A,SUV,3,4,A8,X,18.43,11.8,6,27.08,263.06
Honda,Model C,SUV,3.5,8,A8,Z,7.24,10.46,10.54,21.24,313.5
Ford,Model A,Truck,3,6,M5,X,16.79,13.03,10.75,39.4,163.28
Ford,Model B,SUV,3.7,4,M6,X,14.27,8.31,13.69,37.28,301.76
Toyota,Model C,SUV,4.1,4,A8,Z,10.13,8.92,9.1,34.85,311.28
Honda,Model A,SUV,4.4,6,M6,X,18.11,12.03,13.87,22.09,267.59
Toyota,Model B,Sedan,3.7,8,M6,Z,5.19,7.94,16.33,17.94,371.09
Toyota,Model C,Compact,4.6,6,A8,X,8.4,4.7,8.09,32.28,133.3
BMW,Model C,Truck,1.7,6,M5,X,13.5,4.82,17.73,31.61,153.14
BMW,Model A,Truck,2.1,4,A8,Z,10.27,5.27,10.02,20.65,228.6
BMW,Model A,Sedan,5.1,4,A8,Z,14.16,13.57,8.47,16.69,138.01
Ford,Model A,Compact,2.6,8,M6,X,5.36,9.19,10.48,17.42,269.89
Honda,Model B,Truck,1.1,4,A8,X,6.75,11.84,6.23,44.78,219.52
Honda,Model A,SUV,1.8,4,M5,X,6.91,8.32,6.63,38.51,185.38
Honda,Model C,Truck,2.1,6,A8,X,7.84,6.85,10.39,42.66,151
Honda,Model C,SUV,5.8,4,M5,X,11.89,7.82,14.91,20.85,200.6
BMW,Model A,Sedan,3.9,8,M5,X,16.28,12.74,16.7,43.82,282.39
Ford,Model A,SUV,5.7,6,M6,Z,18.58,10.88,13.64,19.28,272.74
Ford,Model C,Truck,3.9,8,A6,Z,17.53,14.31,6.37,30.27,149.09
BMW,Model B,Truck,3.4,6,A6,Z,7.95,11.48,13.74,39.89,137.48
Ford,Model A,Truck,2.6,4,M6,X,11.62,10.27,13.26,25.49,108
BMW,Model A,Sedan,4,6,A8,X,7.99,10.71,15.47,27.74,103.73
Honda,Model C,Sedan,1.7,6,M6,X,8.97,14.37,15.73,18.85,363.94
BMW,Model A,Compact,5.5,4,M5,Z,12.55,12.67,16.29,18.69,113.53
Honda,Model B,Truck,5.1,4,A6,Z,6.02,4.26,10.38,33.59,319.37
Honda,Model C,SUV,2.6,8,M6,X,8.27,9.88,14.07,35.27,361.6
Toyota,Model A,Sedan,5.8,8,A8,X,19.03,11.57,8.49,38.32,129.42
BMW,Model C,Truck,5.1,4,M6,Z,11.99,12.24,17.99,31.7,230.89
Toyota,Model A,Truck,4.3,4,A6,Z,11.68,6.34,7.28,34.37,388.69
BMW,Model A,Sedan,1.6,4,M6,Z,5.22,13.54,5.13,15.41,350.24
BMW,Model A,Compact,3.4,6,M6,X,8.71,14.51,6.93,19.87,246.91
Toyota,Model B,Sedan,3.5,6,A6,X,17.99,6.6,15.09,44.55,328.77
Toyota,Model B,Sedan,2.2,6,M5,X,7.47,13.71,10.81,17.28,350.01
BMW,Model C,SUV,1.4,4,M5,Z,11.23,5.07,10.82,35.36,204.41
Ford,Model A,SUV,4.9,8,A6,Z,5.21,4.61,17.42,20.28,367.65
Honda,Model A,Compact,1.6,4,M6,X,12.18,5.42,16.96,36.5,241.14
Toyota,Model B,Truck,4,6,A6,X,5.32,4.64,9.05,36.18,258.34
Honda,Model A,Sedan,5.7,6,M5,Z,17.29,13.3,7.72,22.03,399.91
Ford,Model B,Compact,5.4,4,A8,X,17.37,4.65,16.03,23.09,352.99
Ford,Model A,SUV,2.4,4,M6,Z,16.82,6.99,16.78,34.64,208.53
Ford,Model C,Sedan,5.3,6,M5,Z,9.25,5.14,12.04,26.7,103.1
Toyota,Model A,Truck,1,6,M6,X,17.56,7.25,13.18,20.84,287.85
Ford,Model A,SUV,1.1,6,A6,Z,13.14,5,8.34,36.95,311.17
Toyota,Model B,SUV,4,4,A8,X,10.61,11.35,15.41,19.62,295.24
Ford,Model A,SUV,2.8,6,A6,Z,14.38,5.47,13.22,40.67,390.36
Honda,Model A,Compact,2.9,6,A8,Z,5.19,13.37,11.55,30.44,358.89
Honda,Model B,Truck,3.8,8,M6,X,7.14,12.99,5.78,18.17,234.65
BMW,Model C,Sedan,2,4,M6,Z,16.13,4.15,16.91,35.82,118.86
Honda,Model C,Compact,2.1,8,A6,X,8.66,13.85,13,30.57,242.82
BMW,Model B,Compact,3.4,8,A8,X,13.97,4.32,7.5,23.94,306.77
Honda,Model B,Compact,4.8,6,A8,Z,10.78,6.64,12.88,27.68,282.31
Toyota,Model B,SUV,4.1,4,M6,X,17.82,4.36,13.81,23.95,261.44
Honda,Model B,Truck,2.5,6,A6,X,19.29,7.69,11.84,22.89,240.65
BMW,Model B,Compact,3.2,4,A8,X,18.25,9.65,14.34,19.91,188.13
BMW,Model C,Sedan,1.9,8,M6,X,9.06,12.76,12.56,25.88,183.2
Ford,Model C,Truck,1.4,4,M5,X,7.91,7.72,17.32,22.53,250.07
Toyota,Model B,Sedan,4.9,6,A6,X,12.12,11.76,5.7,35.5,148.18
Honda,Model A,Truck,2.3,6,M5,Z,5.11,6.06,6.38,35.52,202.21
Ford,Model B,Sedan,1.9,6,A6,X,5.39,12.26,7.26,30.06,197.19
Honda,Model A,SUV,4.5,4,M6,Z,13.3,6.6,13.97,38.34,276.14
Honda,Model B,Compact,4.1,8,A8,Z,12.81,5.58,13.39,40.24,120
Ford,Model B,Sedan,4.2,8,A8,X,19.92,6.04,16.6,32.39,348.9
Ford,Model C,Truck,2.1,4,A8,Z,8.03,6,14.53,33.57,268.71
Ford,Model A,Compact,2.2,6,A6,Z,8.87,9.64,11.61,23.49,301.25
Ford,Model A,Compact,2.1,8,M6,X,6.7,13.29,17.89,41.85,310.93
Ford,Model C,Truck,1.9,6,M5,X,18.76,4.88,8.46,15.73,187.45
Honda,Model C,Sedan,4.3,4,M6,X,16.67,11.78,15.83,25.46,241.11
Ford,Model C,SUV,5.2,6,M5,Z,17.34,11.2,10.55,36.65,386.87
Toyota,Model C,SUV,4.6,8,A6,Z,18.54,13.6,13.43,17.4,330.01
BMW,Model A,Sedan,5,8,A6,X,12.87,6.69,14.45,20.5,390.87
Ford,Model A,Compact,3,6,M5,X,11.77,8.95,13.24,32.68,323.88
Ford,Model B,Compact,4.3,4,M5,Z,9.96,14.18,6.83,31.8,152.68
Honda,Model B,Compact,2.8,6,M5,Z,13.84,11.26,10.76,37.17,119.36
Ford,Model C,Compact,3.6,4,M6,Z,11.81,8.28,12.3,39.38,273.3
Ford,Model C,Sedan,3.4,6,M5,Z,11.77,5.45,16.04,18.86,207.34
Ford,Model C,Compact,1.9,8,A6,X,19.05,6.89,10.77,15.55,182.64
Honda,Model B,Truck,2.9,4,A6,Z,19.76,10.39,16.94,35.69,342.16
Ford,Model B,Compact,5.8,4,A8,Z,16.95,11.9,10.72,24.04,210.1
BMW,Model B,SUV,2.2,4,M5,Z,16.35,5.37,12.13,33.78,195.1
Honda,Model B,Compact,1.7,8,M6,Z,15.21,10.6,15.35,19.52,355
BMW,Model B,Sedan,3.1,6,M6,X,7.49,10.05,12.58,29.07,353.89
Honda,Model B,SUV,5,8,M6,X,5.89,9.65,17.48,30.13,206.91
Ford,Model B,Sedan,3.9,4,A8,Z,15.36,11.59,13.58,32.55,349.75
BMW,Model C,Sedan,4.4,6,A6,Z,15.93,13.21,11.8,30.4,355.23
Honda,Model C,SUV,1.9,8,M6,X,5.7,7.55,5.31,29.87,227.18
Toyota,Model C,Sedan,4.1,4,A6,X,18.92,13.78,10.38,24.98,119.94
Ford,Model C,Sedan,2.6,4,A8,Z,6.37,5.77,8.89,17.14,100.48
Honda,Model B,Compact,5.2,8,M5,Z,9.29,5.9,14.73,17.69,256.99
Toyota,Model A,Truck,4.1,8,M5,X,15.09,6.93,7.71,28.01,203.22
Honda,Model B,Sedan,2,8,M5,X,7.55,5.31,7.67,25.67,399.14
Toyota,Model A,Sedan,1.3,4,M6,X,5.83,6.53,7.46,30.48,331.72
Ford,Model C,Sedan,1.2,8,M5,X,9.97,5.17,6.63,24.15,328.38
BMW,Model B,Compact,2.9,4,M6,X,16.49,13.04,9.04,35.64,386.57
Toyota,Model C,Truck,2.3,8,A8,X,11.21,5.53,16.52,40.92,366.32
Honda,Model B,SUV,4.2,4,A8,Z,14.79,12.22,15.07,23.97,195.46
Ford,Model C,Compact,3.5,4,M6,X,13.69,4.53,14.56,20.79,149.8
Toyota,Model A,Compact,2.3,6,A6,X,5.33,14.43,15.37,18.49,323.77
Honda,Model A,Truck,1.7,8,M5,X,19.83,11.82,8.5,33.49,213.48
Honda,Model A,Truck,1.6,8,M5,X,5.62,4.07,16.54,28.32,241.95
Honda,Model B,Compact,5.3,4,M5,Z,19.52,12.4,6.78,20.64,289.12
Toyota,Model A,SUV,2.2,4,M6,Z,13.25,9.65,9.37,34.59,372.36
Toyota,Model B,Compact,4.3,4,A8,X,19.45,12.57,12.63,19.45,225.73
Toyota,Model A,Truck,5.1,6,M5,Z,6.72,9.75,6.34,31.63,335
BMW,Model A,SUV,4.1,6,A8,Z,12.36,11.05,14.49,30.81,180.5
Toyota,Model B,Truck,5.3,4,M5,Z,7.54,12.65,10.03,37.03,309.39
Toyota,Model B,SUV,3,8,M5,Z,5.76,8.46,15.2,16.65,100.47
Toyota,Model A,Sedan,5.8,8,M6,Z,14.26,4.03,11.41,41.64,361.45
BMW,Model B,Truck,1.7,6,A6,Z,8.12,13.35,7.35,36.09,109.11
Toyota,Model A,Truck,1.5,6,M6,X,13.82,8.19,14.55,21.48,313.83
Honda,Model B,Compact,4.3,4,M5,X,6.69,9.46,8.28,20.5,113.88
Toyota,Model C,Truck,5.7,8,M5,X,9.98,4.09,11.38,27.95,179.87
Honda,Model C,Truck,5,4,A6,X,16.72,9.41,5.98,39.53,249.16
Honda,Model C,Sedan,1.4,6,A8,X,11.56,14.85,13.03,40.29,225.98
Honda,Model C,Truck,2.4,8,A8,Z,14.42,7.06,13.66,30.61,157.55
BMW,Model C,Sedan,5.7,8,M5,X,14.71,8.35,9.92,40.82,200.14
BMW,Model A,Sedan,2.3,6,A8,X,17.66,11.56,17.41,15.16,318.31
BMW,Model C,Sedan,4.9,4,M5,Z,9.87,12.96,16.36,16.06,300.78
Toyota,Model C,Sedan,5.1,4,A6,Z,15.31,8.59,14.2,42.35,121.54
Honda,Model C,SUV,3.5,8,A6,X,19.42,7.41,14.28,38.26,324.19
BMW,Model C,Compact,2.9,6,M5,Z,15.95,14.32,8.28,28.52,115.91
BMW,Model B,SUV,3.3,8,A6,Z,12.35,11.45,13.54,37.61,262.88
Toyota,Model A,Truck,2.1,6,M6,Z,14.46,5.31,7.58,43.67,178.02
BMW,Model C,SUV,5.4,4,M6,Z,16.1,4.76,6.87,38.16,276.31
Toyota,Model C,SUV,3.3,6,A6,X,14.18,9.32,17.99,40.27,178.4
Ford,Model C,Truck,5.4,4,M5,Z,5.25,6.42,13.09,37.82,395.49
BMW,Model A,Truck,1.5,6,M5,X,7.92,6.79,10.6,20.05,192.92
Ford,Model B,Truck,5.9,8,A6,X,17.16,13.65,8.75,40.01,172.59
Toyota,Model A,SUV,3.2,4,A8,Z,9.09,4.99,12.85,20.85,183.54
Honda,Model B,SUV,1.2,8,M6,Z,15.97,11.87,5.64,41.78,368.94
BMW,Model C,Truck,1.2,8,A8,Z,10.58,6.98,6.23,28.76,290.87
Toyota,Model C,Compact,4.7,4,M5,X,12.83,12.36,5.43,35.31,319.21
Honda,Model A,Compact,4.3,4,M5,Z,6.02,11.95,11.49,29.92,375.4
Honda,Model A,Sedan,5,8,A8,Z,7.72,4.08,12.81,17.82,373.56
Ford,Model B,Truck,1.5,8,A6,Z,19.36,9.6,5.81,23.72,321.68
Toyota,Model B,Sedan,1.2,8,A8,Z,18.35,5.53,14.38,44.51,159.35
Honda,Model A,Compact,3.5,8,A8,Z,14.78,13.53,8,43.82,353.01
BMW,Model B,Sedan,2.9,4,M6,X,11.89,13.59,13.91,24.61,161.13
BMW,Model A,Truck,3.3,4,M6,Z,15.14,8.6,17.76,44.89,322.87
Ford,Model B,Truck,6,8,A8,Z,14.28,8.89,13.98,40.37,305.68
Honda,Model A,Truck,5.9,6,A8,Z,13.53,7.34,16.48,33.33,327.67
Toyota,Model A,SUV,5.7,6,M5,X,5.89,11.88,17.33,16.2,259.81
BMW,Model A,Sedan,4.9,4,M6,Z,14.49,7.95,11.33,42.04,291.62
Honda,Model B,Compact,2.8,8,M6,X,16.53,6.95,14.13,31.72,386
Honda,Model B,Compact,3.1,8,M5,X,19.91,8.75,16.08,41.05,130.33
Ford,Model B,Compact,3.7,4,A6,Z,5.17,5.01,9.64,40.03,192.65
BMW,Model A,SUV,5.2,6,M6,Z,15.95,12.21,8.4,39.99,283.41
BMW,Model B,SUV,1.3,6,M6,Z,13.58,4.14,17.31,35.95,389.22
Toyota,Model B,Truck,3.1,6,A6,X,11.51,11.09,14.44,23.74,128.67
BMW,Model A,Compact,1.4,4,M6,X,6.91,6.01,7.86,25.08,106.76
Toyota,Model C,SUV,3.6,6,M6,X,11.14,6.56,10.84,24.25,116.72
BMW,Model A,Truck,5.5,4,A6,X,10.32,10.99,15.35,15.6,115.72
Ford,Model B,Compact,4.9,4,A6,X,9.54,14.92,12.11,32.48,372.34
BMW,Model A,Sedan,2.1,8,A8,X,15.96,12.55,13.45,35.97,316.38
Toyota,Model C,Truck,5.9,6,M5,Z,15.51,6.48,14.8,40.62,303.13
Toyota,Model A,SUV,4.3,4,M5,Z,13.84,5.94,13.09,19.2,256.77
Ford,Model B,SUV,1.1,6,A6,X,19.08,13.53,12.02,31.33,334.59
BMW,Model C,Truck,2.3,6,A6,Z,10.25,8.89,14.74,15.24,146.69
BMW,Model B,Truck,2.3,8,M6,Z,8.66,5.51,14.46,17.85,217.58
Ford,Model C,SUV,1.3,6,A8,X,14.84,13.48,13.19,16.63,247
BMW,Model C,Sedan,5.8,8,A8,X,7.98,12.98,9.68,36.76,133.12
BMW,Model A,Compact,3.4,4,A6,Z,9.73,14.82,10.28,17.43,225.85
Toyota,Model A,Sedan,5.5,6,M6,X,8.37,14.01,17.62,36.49,194.95
BMW,Model B,Truck,2.6,4,M6,X,6.04,13.37,6.46,22.49,110.67
BMW,Model A,Sedan,1.6,6,M5,Z,17.41,4.58,8.49,41.33,141.02
Ford,Model A,SUV,3.4,4,M5,X,8.82,5.15,11.4,39.39,329.21
Ford,Model C,Truck,1.6,6,M6,Z,12.1,10.26,15.88,43.73,105.41
Honda,Model A,Compact,3.4,6,M5,Z,5.65,9.85,7.13,41.51,380.28
Toyota,Model C,SUV,5.6,6,A6,Z,15.49,9.04,8.6,43,125.93
BMW,Model C,SUV,3.6,6,M6,Z,9.96,8.36,5.86,40.76,339.77
BMW,Model C,Compact,4.1,6,M5,Z,16.17,8.74,14.18,35.8,369.58
Honda,Model B,Compact,1.8,6,A8,X,11.19,10.26,8.1,20.11,382.34
BMW,Model B,Sedan,1.2,6,M6,X,7.94,4.02,10.05,23.15,360.24
Toyota,Model B,Truck,1.6,6,M6,X,12.7,6.87,10.77,21.38,186.27
Honda,Model C,Compact,4,6,A8,X,6.96,9.7,16.59,33.11,199.93
Toyota,Model B,Compact,1.5,4,A6,Z,11.61,11.94,10.35,30.11,227.96
Honda,Model B,Truck,2.9,8,A8,Z,9.76,5.92,6.89,41.01,141.79
Honda,Model A,Compact,3.8,6,M6,X,18.68,10.02,11.82,43.58,106.68
Ford,Model B,Compact,2.9,8,A6,Z,5.91,11.86,17.52,27.15,360.74
Toyota,Model B,Sedan,1.8,6,M5,X,15.41,8.89,12.9,30.19,266.24
BMW,Model C,SUV,2.4,6,M5,X,7.74,4.3,17.78,44.15,282.62
BMW,Model C,SUV,5.6,4,M5,X,9.79,8.94,15.93,23.29,378.1
Toyota,Model C,SUV,4.4,4,M6,Z,11.23,7.26,5.47,38.77,299.54
BMW,Model C,SUV,3.5,8,A8,Z,18.62,14.23,13.56,21.76,307.26
BMW,Model C,Compact,1.1,4,A6,Z,8.64,5.37,8.73,35.44,336.09
Toyota,Model C,Truck,6,4,M5,Z,6.37,11.18,12.28,22.61,134.9
Honda,Model B,Truck,4.4,8,A6,X,9.78,4.58,8.63,41.51,208.05
Toyota,Model C,Sedan,2.6,4,M6,Z,6.57,8.91,9.54,31.84,390.46
Honda,Model C,Sedan,5.4,6,M5,Z,6.93,10.09,17,20.58,376.88
BMW,Model A,Compact,2.3,8,M6,Z,13.61,7.28,7.69,21.73,365.22
BMW,Model B,Truck,3.7,8,A8,X,5.91,9.01,16.36,29.82,235.63
BMW,Model B,Truck,4.2,6,M6,X,5.46,5.8,5.4,43.85,357.16
Ford,Model B,SUV,2.1,4,M6,Z,15.72,7.35,6.18,38.09,114.52
Honda,Model C,Compact,5.9,8,A8,Z,10.42,10.83,16.11,29.65,144.56
Ford,Model C,Compact,4.7,8,A6,Z,6.88,7.32,13.2,25.13,224.19
Ford,Model C,SUV,3.8,6,A8,Z,8.8,13.9,14.71,31.48,245.02
Toyota,Model A,Compact,1.9,6,A8,X,14.63,10.91,7.72,37.45,179.05
Ford,Model C,Compact,1.3,4,M6,Z,9.13,8.83,11.98,38.52,206.94
Toyota,Model A,Sedan,2.6,8,A6,Z,12.42,4.43,14.58,24.74,148.83
Toyota,Model B,Truck,4.8,4,M5,Z,6.83,9.5,13.16,36.63,246.74
Ford,Model C,Compact,2.3,4,A8,X,13.82,12.41,11.13,34.73,338.15
Honda,Model A,Sedan,3.7,6,A6,X,9.74,6.92,17.48,43.77,298.41
Honda,Model A,Truck,4.6,8,A8,Z,14.4,12.87,13.79,42.93,132.34
Honda,Model C,SUV,1.5,8,A8,Z,17.13,6.77,16.8,38.68,246.27
Honda,Model B,Sedan,4.4,8,A8,Z,14.17,13.06,14.49,36.7,309.29
Honda,Model B,Sedan,1.5,6,A8,Z,9.44,4.94,14.56,23.22,258.97
Ford,Model B,Truck,5.8,6,M6,Z,8.84,13.53,6.04,40.38,217.5
Ford,Model A,SUV,3.4,6,A6,X,9.91,9.49,9.67,27.83,286.57
BMW,Model A,Sedan,1.8,6,A6,X,7.47,7.26,16.16,23.17,390.59
Honda,Model A,Compact,2.7,6,A6,X,7.72,6.92,8.02,26.52,128.47
Ford,Model A,Compact,3.1,8,A8,Z,16.86,8.75,6.5,40.08,217
BMW,Model B,Compact,4.8,4,M6,X,10.77,14.99,9.24,19.46,221.98
Honda,Model C,SUV,4.7,8,A8,X,11.54,6.42,7.87,28.68,273.09
Toyota,Model A,Sedan,4.1,4,A8,X,13.91,5.14,17.03,29.77,145.65
BMW,Model A,Compact,1.5,6,A6,Z,13.84,10.44,16.28,16.1,152.99
Ford,Model B,SUV,1.8,4,A8,Z,6.01,9.37,11.5,20.87,185.61
Toyota,Model C,Compact,1.5,8,M5,X,17.47,9.77,5.8,39.8,386.76
Toyota,Model C,Truck,3.9,8,A8,Z,7.66,11.34,14.29,39.92,320.23
Toyota,Model B,Sedan,5.4,4,M5,X,15.85,6.94,13.1,23.77,298.51
BMW,Model B,Sedan,3.2,6,A8,X,16.59,14.02,17.62,41.25,345.09
Ford,Model C,SUV,1.8,6,M6,X,15.72,8.79,12.27,38.15,138.27
Toyota,Model A,SUV,3.8,8,M6,X,13.68,5.42,9.37,27.54,357.8
Honda,Model C,Sedan,5.1,4,A6,Z,5.22,12.17,11.75,37.45,278.45
Toyota,Model B,Compact,4.7,6,A8,Z,10.41,11.07,17.73,43.84,200.6
Toyota,Model A,Compact,5.4,6,M5,Z,14.07,7.47,14.05,28.77,344.76
BMW,Model A,Truck,2.4,8,M5,Z,10.81,10.84,13.74,22.15,340.77
BMW,Model B,Compact,2,6,A8,X,17.95,6.42,8.13,43.25,353.71
Ford,Model B,SUV,5.4,4,M5,Z,9.63,8.89,14.67,33.11,134.66
Honda,Model B,SUV,4.3,8,M6,X,9.4,13.89,14.75,18.16,390.81
BMW,Model C,Compact,2.6,8,M5,Z,8.99,5.47,9.12,32.18,387.89
Toyota,Model C,SUV,4.7,4,A6,Z,9.99,8.25,11.29,30.02,207.24
Ford,Model A,Sedan,5.1,8,M6,Z,13.36,13.03,8.83,40.67,119.77
Toyota,Model B,Sedan,4.1,6,M6,X,15.61,14.66,8.36,30.92,150.12
Toyota,Model A,Compact,4.4,6,M6,X,14.94,8.99,5.34,22.66,397.85
BMW,Model A,Sedan,2.9,4,A8,X,17.12,9.58,8.71,35.27,268.9
Ford,Model A,Sedan,3.7,6,A8,X,18.29,10.29,12.2,31.28,206.99
Honda,Model A,Truck,3.6,4,M6,Z,17.24,14.26,5.02,21.99,186.46
Honda,Model B,Truck,5.2,4,A8,X,5.28,13.44,8.68,32.21,177.1
BMW,Model A,Sedan,5.2,6,M5,X,16.04,5.88,16.46,39.65,299.25
BMW,Model B,Compact,5.2,4,A8,Z,8.13,8.8,12.72,15.86,225.82
Ford,Model B,Truck,1.1,6,A8,Z,6.99,9.1,12.9,33.93,389.62
Honda,Model C,SUV,4.7,8,M6,X,14.58,12.68,10.24,25.49,305.15
Honda,Model B,SUV,4.8,8,A6,Z,9.8,10.63,13.79,23.78,337.61
Honda,Model C,SUV,4.4,4,A6,X,5.86,11.2,7.47,26.78,187.82
Toyota,Model B,Compact,4.8,6,A6,Z,7.06,14.98,15.64,25.26,123.76
Honda,Model B,Sedan,5.2,6,M5,X,5.01,4.82,6.52,39.97,246.35
Toyota,Model B,SUV,3.4,8,A8,X,18.55,6.45,13.53,23.24,194.37
Ford,Model C,Compact,3.5,8,A6,X,5.37,8.49,9.43,36.99,160.62
Toyota,Model C,Truck,1.6,6,M6,X,8.14,7.83,14.72,17.82,385.79
Ford,Model A,Sedan,2.9,4,A6,X,11.24,4.24,12.15,43.54,233.2
Honda,Model C,Truck,4.2,8,A6,Z,10.35,5.01,10.88,33.67,152.41
Honda,Model C,Compact,4.9,4,A8,X,18.68,11.49,7.2,36.2,159.6
Ford,Model C,SUV,2.1,4,A8,X,5.6,13.67,13.28,23.94,184.21
BMW,Model C,SUV,1.7,8,A8,X,12.68,9.66,17.67,27.36,399.79
Ford,Model A,Compact,4.3,4,M5,X,15.21,9.93,15.73,21.71,180.4
BMW,Model C,SUV,1,4,M5,X,18.98,6.81,5.78,42.98,198.64
Toyota,Model B,Sedan,1.9,6,A6,Z,14.31,12.45,9.89,29.64,297.8
Toyota,Model B,Compact,1.1,4,A8,Z,17.06,12.27,17.03,33.91,188.19
Toyota,Model C,Truck,1.8,6,A6,X,6.26,10.47,11.54,37.03,164.74
Honda,Model C,Compact,1.9,8,M6,Z,10.79,6.34,13.61,26.13,147.59
Toyota,Model B,Sedan,2.9,8,M6,X,10.61,5.07,16.86,36.6,193.8
BMW,Model B,Sedan,3,6,A8,Z,18.29,4.71,16.36,35.28,131.77
Toyota,Model A,Compact,5.4,8,A8,Z,7.27,10.52,11.52,36.17,105.59
Ford,Model B,Compact,3.6,4,M6,X,7.28,13.08,10.69,29.68,341.39
Ford,Model B,SUV,4.6,4,A8,Z,9.93,13.44,9.42,26.49,141.37
Honda,Model C,Sedan,1.5,4,M5,Z,5.82,9.1,14.35,21.66,332.79
Ford,Model B,Compact,2.1,8,M5,X,7.74,12.63,8.73,39.74,339.26
BMW,Model A,Compact,4.5,4,A8,X,19.48,14.42,8.25,33.25,261.38
Toyota,Model B,Sedan,1.3,8,M6,Z,11.42,7.03,9.63,28.33,192.9
Honda,Model C,Compact,3.4,4,A6,Z,14.48,8.38,7.3,43.32,143.51
Toyota,Model C,SUV,4,6,A8,Z,15.89,14.25,14.04,16.44,321.04
Toyota,Model B,Sedan,4,8,A8,X,10.5,7.72,13.01,40.51,280.42
BMW,Model C,SUV,1.1,8,A6,Z,7.21,14.05,11.28,44.93,296.64
Ford,Model A,SUV,2.6,4,A8,Z,8.1,14.79,10.07,41.61,102.6
Ford,Model A,SUV,4.2,8,A6,Z,9.7,11.28,16.82,39.31,378.26
Toyota,Model B,SUV,1.7,8,M6,X,14.54,12.99,5.38,26.23,119.89
Honda,Model B,Sedan,4.5,6,M5,X,10.97,12.25,15,21.94,210.04
Ford,Model B,SUV,4.7,6,M6,X,5.1,11.69,16.72,37.05,220.81
Honda,Model C,SUV,5.9,4,M5,X,12.85,7.38,10.8,24.14,100.41
Ford,Model A,Compact,2,6,A6,Z,18.82,4.63,12.16,20.28,249.13
Honda,Model A,Sedan,5.1,4,M5,X,17.18,7.77,17.28,38.6,325.84
BMW,Model C,Sedan,3.6,4,M6,Z,17.38,11.34,7.76,24.38,346.98
Honda,Model A,Truck,2.9,4,M5,Z,16.93,5.13,11.76,42.43,363.82
BMW,Model B,Sedan,1.6,8,A6,Z,9.86,4.13,11.17,40.22,246.32
